EpisodesSoFar,TimeElapsed,loss_pol_surr,loss_ent,EpLenMean,loss_kl,loss_pol_entpen,TimestepsSoFar,loss_vf_loss,EpRewMean,ev_tdlam_before,EpThisIter
7807,7493.418382644653,-0.008886088,8.1511345,902.81,0.00792058,0.0,11028802,244075900000.0,-1934702.2890072293,1.1920928955078125e-07,93
7907,7551.3128871917725,-0.009449197,8.155169,832.32,0.0076437206,0.0,11112034,52666430000.0,-3089915.72135236,0.0,100
7994,7632.331998586655,-0.009731304,8.156389,968.67,0.0061679743,0.0,11192897,341016250000.0,-685893.948024481,-5.9604644775390625e-06,87
8058,7689.998983860016,-0.009190626,8.158421,1093.88,0.0076391725,0.0,11268583,18367216000.0,-3749817.7347642826,-1.1920928955078125e-07,64
8132,7748.1561760902405,-0.009753857,8.155672,1048.61,0.0050248457,0.0,11345936,60394070000.0,-662718.0811140302,-1.33514404296875e-05,74
8214,7831.234928846359,-0.008182751,8.161213,1082.65,0.008551997,0.0,11428410,31615685000.0,-1392614.1821710179,-2.5391578674316406e-05,82
8293,7889.433732509613,-0.009460578,8.165098,941.66,0.0069752657,0.0,11504901,318097800000.0,-1159002.6485475183,-2.384185791015625e-07,79
8380,7946.65465593338,-0.009931043,8.168195,1011.58,0.0063836575,0.0,11591076,351520160000.0,-3551604.8949131323,8.344650268554688e-07,87
8451,8035.95060634613,-0.009171583,8.173506,1136.52,0.006264443,0.0,11673689,55704900000.0,-7438016.637963584,-1.1920928955078125e-07,71
8524,8093.325300455093,-0.0088559985,8.173115,1050.63,0.007862041,0.0,11752881,46974165000.0,-1264471.661902188,-5.960464477539062e-07,73
8612,8157.966862678528,-0.008770065,8.177762,981.19,0.0085566845,0.0,11839018,1059322300000.0,-1069124.850708392,0.0,88
8692,8242.047556400299,-0.009448151,8.179382,1018.87,0.009516827,0.0,11921139,188104110000.0,-8119340.048648838,0.0,80
8770,8299.795573234558,-0.009481569,8.174107,1028.93,0.007404673,0.0,12004141,25309544000.0,-2088665.4638775692,5.960464477539063e-08,78
8868,8395.440942287445,-0.009343003,8.174074,881.45,0.0074533746,0.0,12090793,207686300000.0,-1261969.9659084005,5.960464477539063e-08,98
8957,8454.291971445084,-0.008155657,8.168613,934.54,0.009038458,0.0,12178591,40217797000.0,-3754025.6242074464,-1.3113021850585938e-06,89
9040,8548.673402786255,-0.009451943,8.167254,994.52,0.0074637746,0.0,12260652,92315530000.0,-628610.3904700238,-1.1920928955078125e-07,83
9124,8606.27894616127,-0.010061237,8.177233,1010.85,0.007569766,0.0,12341369,14541466000.0,-1666357.1266547123,-1.1920928955078125e-06,84
9207,8698.575677394867,-0.009067346,8.169985,1013.06,0.007764183,0.0,12421258,39260373000.0,-1608930.3548308131,0.0,83
9288,8756.51645207405,-0.009260887,8.167294,928.59,0.0064870478,0.0,12497197,69645520000.0,-1798903.0135365396,2.384185791015625e-06,81
9370,8847.273600101471,-0.006499415,8.168779,1017.08,0.010433319,0.0,12581627,57061114000.0,-383234.2924720267,1.1920928955078125e-07,82
9458,8905.256732940674,-0.009355729,8.166796,835.38,0.0091288965,0.0,12655815,489437460000.0,-1261532.7572046772,1.1920928955078125e-07,88
9553,8995.63753414154,-0.009892004,8.169203,950.87,0.007588251,0.0,12747835,30598568000.0,-4937719.808161281,1.0728836059570312e-06,95
9628,9054.065348148346,-0.009940764,8.171236,1055.54,0.0072082654,0.0,12827870,273490800000.0,-2305735.262757622,-5.960464477539062e-07,75
9704,9121.57735133171,-0.008662539,8.176395,1065.14,0.008672578,0.0,12911692,23895202000.0,-4624073.247759353,-5.364418029785156e-06,76
9807,9204.867883682251,-0.010528924,8.170925,803.72,0.006932049,0.0,12993610,68189037000.0,-824871.224643524,-1.1920928955078125e-07,103
9897,9262.812556743622,-0.009273167,8.1763935,920.26,0.006895402,0.0,13075450,83400510000.0,-2328534.819203542,5.960464477539063e-08,90
9976,9321.454745292664,-0.008573517,8.183018,969.68,0.008270999,0.0,13153497,5007802400.0,-562633.5022089278,-2.384185791015625e-07,79
10079,9404.88425564766,-0.009343882,8.184217,863.31,0.0059161056,0.0,13242328,126508940000.0,-398053.64076268824,0.0,103
10152,9463.631861686707,-0.006848636,8.184313,1046.77,0.012506058,0.0,13319704,72716165000.0,-2688537.3693441474,0.0,73
10236,9522.134286403656,-0.0087644635,8.193983,954.85,0.0081268465,0.0,13401228,82233850000.0,-2803959.1328157615,-1.1920928955078125e-07,84
10309,9580.338339805603,-0.008597454,8.200269,1049.91,0.0053640516,0.0,13474928,237432050000.0,-3292986.0457851007,0.0,73
10397,9669.071078777313,-0.009576635,8.2037945,1010.84,0.0063417284,0.0,13562205,98852940000.0,-4585817.29473982,8.940696716308594e-07,88
10488,9727.457496881485,-0.008694746,8.207081,1008.85,0.006168764,0.0,13650853,4636803600.0,-1979855.6960165882,-7.152557373046875e-07,91
10589,9794.291953802109,-0.009634574,8.20483,817.83,0.006282182,0.0,13733467,103925465000.0,-1292872.645037473,0.0,101
10689,9875.001146316528,-0.008607693,8.211351,843.03,0.008374003,0.0,13817770,107586716000.0,-2227412.0300816637,-9.179115295410156e-06,100
10771,9934.334609985352,-0.008715501,8.214277,918.29,0.006907354,0.0,13891714,3885462800.0,-1520742.3462299951,2.1457672119140625e-06,82
10869,10023.087044715881,-0.008769287,8.222216,821.63,0.0060517015,0.0,13972297,184663180000.0,-410120.5142698432,-1.1920928955078125e-07,98
10950,10081.042704820633,-0.008507972,8.219515,926.92,0.008165601,0.0,14048367,22965787000.0,-2339024.2616695105,-4.57763671875e-05,81
11038,10148.145603656769,-0.009773597,8.221661,968.25,0.007988099,0.0,14131778,49637350000.0,-2132784.009268641,0.0,88
11142,10228.54759812355,-0.009395535,8.227797,889.2,0.006881027,0.0,14225015,12957995000.0,-614027.9996792048,-3.5762786865234375e-07,104
11229,10287.527822494507,-0.008085535,8.237667,900.56,0.007983996,0.0,14302129,889207000000.0,-3877756.739412538,2.384185791015625e-07,87
11324,10379.81515288353,-0.008308043,8.239607,879.34,0.007260771,0.0,14387250,105314270000.0,-3496388.484461891,1.7881393432617188e-07,95
11412,10438.037571430206,-0.009586109,8.248186,921.53,0.005895523,0.0,14469213,4390188000.0,-997512.2678752027,0.0,88
11516,10496.8998401165,-0.008397914,8.24963,775.83,0.007683148,0.0,14550163,256673150000.0,-2801806.308291303,0.0,104
11602,10590.785789251328,-0.009499789,8.248381,916.94,0.0064983307,0.0,14630382,49884357000.0,-1033056.9428264245,-1.1920928955078125e-07,86
11693,10650.401428937912,-0.00901468,8.241734,884.48,0.008047965,0.0,14708777,28817150000.0,-1198013.1337605626,4.589557647705078e-06,91
11788,10741.442787647247,-0.00868009,8.24609,925.47,0.006798993,0.0,14797708,1048292750000.0,-725438.2451022209,5.960464477539063e-08,95
11891,10800.206689119339,-0.009789885,8.242993,777.5,0.007470732,0.0,14877786,228376800000.0,-9068999.357733835,2.8014183044433594e-06,103
11982,10897.65486240387,-0.009209847,8.246395,856.24,0.00660699,0.0,14956272,190326050000.0,-1358724.1835738907,1.7881393432617188e-07,91
