loss_pol_entpen,loss_kl,loss_pol_surr,EpThisIter,TimestepsSoFar,TimeElapsed,loss_vf_loss,ev_tdlam_before,EpRewMean,EpisodesSoFar,loss_ent,EpLenMean
0.0,0.0023000985,-0.0052899164,68,45649645,35133.33901953697,56880513000000.0,-1.1920928955078125e-07,-110019193.43884343,42829,10.285769,796.38
0.0,0.0018977053,-0.006179556,67,45698272,35176.40105175972,55644440000000.0,-7.62939453125e-06,-88452521.39907327,42896,10.292655,723.02
0.0,0.0025062794,-0.006304536,46,45751098,35219.9487695694,3892771000000.0,1.0728836059570312e-06,-87856594.90588053,42942,10.292083,935.25
0.0,0.0026475997,-0.007079084,73,45810053,35263.43675374985,29480943000000.0,-2.2649765014648438e-06,-76069944.81120357,43015,10.290964,907.68
0.0,0.0022022005,-0.0066063297,53,45854139,35307.10430383682,19503627000000.0,2.980232238769531e-07,-40770278.48605355,43068,10.29729,823.51
0.0,0.002232836,-0.006047209,63,45899724,35351.96056890488,18537293000000.0,-1.1920928955078125e-07,-56413016.31958617,43131,10.297549,759.38
0.0,0.0023103633,-0.0065271426,60,45955771,35396.04230427742,30484145000000.0,0.0,-60080356.13287564,43191,10.295409,836.52
0.0,0.0027136349,-0.005700899,76,46014387,35439.404958724976,12879940000000.0,-7.152557373046875e-07,-43124206.62255177,43267,10.294507,775.58
0.0,0.001958726,-0.007019251,66,46060643,35483.007289648056,10396443000000.0,0.0,-15063299.085271291,43333,10.298963,636.45
0.0,0.003083036,-0.0072451043,54,46111093,35527.03675842285,24201220000000.0,1.1920928955078125e-07,-19469840.037596915,43387,10.299193,859.75
0.0,0.0022783673,-0.0061915885,71,46164881,35570.967126369476,47045090000000.0,0.0,-72945825.44410351,43458,10.300942,838.99
0.0,0.0023637263,-0.0053870333,49,46215129,35615.578122615814,53637674000000.0,5.960464477539063e-08,-103892327.90236023,43507,10.305604,808.69
0.0,0.0020039456,-0.005347312,46,46262044,35659.61256694794,50475630000000.0,-1.1920928955078125e-06,-122775505.28605093,43553,10.301739,1012.34
0.0,0.0025672752,-0.0056455205,50,46309680,35703.39951848984,27179803000000.0,6.556510925292969e-07,-124613983.7161492,43603,10.301013,964.43
0.0,0.002368135,-0.0066363174,51,46364117,35748.72235631943,9420961000000.0,2.980232238769531e-07,-84410604.91870514,43654,10.300742,1000.24
0.0,0.0025604551,-0.0062836935,55,46421247,35792.35985040665,44875040000000.0,0.0,-69830614.28035279,43709,10.304736,1035.37
0.0,0.002346353,-0.0050590523,50,46474565,35836.52878141403,72796690000000.0,0.0,-135899210.97134364,43759,10.299969,1039.77
0.0,0.0022731863,-0.0052786837,57,46522861,35880.43361902237,77699205000000.0,1.7881393432617188e-07,-131344787.33468337,43816,10.300656,925.45
0.0,0.0021422862,-0.00590476,48,46568234,35924.62269449234,64689145000000.0,-9.775161743164062e-06,-154417277.93273452,43864,10.300534,893.95
0.0,0.0021298043,-0.0055819033,49,46620109,35968.526618003845,87463630000000.0,-5.364418029785156e-06,-147289759.45270482,43913,10.298532,998.14
0.0,0.0024494953,-0.005342045,52,46674806,36012.607754945755,45261650000000.0,1.1920928955078125e-06,-151715395.6494165,43965,10.299753,1045.23
0.0,0.0024102572,-0.006018492,76,46728576,36055.869299411774,20835543000000.0,0.0,-73038221.17636754,44041,10.303127,730.48
0.0,0.0037566037,-0.005529126,68,46781292,36100.24818468094,76471640000000.0,-2.384185791015625e-07,-89623676.6389929,44109,10.303342,732.54
0.0,0.0024033703,-0.00635149,61,46827402,36144.854635477066,19329769000000.0,0.0,-102122092.20032392,44170,10.307954,803.77
0.0,0.0028341506,-0.0054785465,58,46881080,36189.54654574394,43670710000000.0,-1.1920928955078125e-07,-114849332.60549343,44228,10.308384,854.24
0.0,0.0023110532,-0.0069183437,60,46928669,36233.26874446869,16380120000000.0,4.76837158203125e-07,-77218631.97699225,44288,10.312287,848.76
0.0,0.0019282886,-0.005574703,49,46980789,36276.93955039978,58800880000000.0,-5.960464477539062e-07,-90060444.64786829,44337,10.313129,902.51
0.0,0.002117999,-0.005535513,62,47031608,36320.47499155998,25140440000000.0,-1.1920928955078125e-07,-93408362.47719708,44399,10.30963,923.31
0.0,0.0023057533,-0.0049604643,66,47078188,36363.820100307465,10188995000000.0,0.0,-54698322.68719461,44465,10.313834,760.97
0.0,0.0022611925,-0.0063434406,65,47135951,36407.48754405975,32347710000000.0,5.960464477539063e-08,-75356888.6117389,44530,10.317248,817.03
0.0,0.002070365,-0.006274764,71,47190836,36451.693997859955,38517997000000.0,0.0,-64198183.618836634,44601,10.321168,825.83
0.0,0.0024013289,-0.005271416,54,47239445,36495.4612429142,37123135000000.0,-3.0994415283203125e-06,-98189018.20033549,44655,10.324123,857.16
0.0,0.0030744711,-0.0049953638,67,47293885,36539.018575668335,84513200000000.0,1.1920928955078125e-07,-100042699.36593096,44722,10.326275,864.64
0.0,0.0021709143,-0.0054423595,63,47339579,36583.16697835922,85980564000000.0,0.0,-188366766.15417504,44785,10.329587,788.68
0.0,0.0021316195,-0.00519671,67,47386190,36628.092559576035,10334151000000.0,-1.1920928955078125e-07,-89272236.24530259,44852,10.329001,652.85
0.0,0.0020010117,-0.0060678567,62,47445714,36672.15279221535,75297655000000.0,-1.1920928955078125e-07,-104105744.90353072,44914,10.333515,820.5
0.0,0.0019517946,-0.0054216846,64,47497361,36716.71446752548,41585257000000.0,5.960464477539063e-08,-91320426.78863172,44978,10.338321,831.83
0.0,0.0026433556,-0.005028279,55,47542240,36761.08934545517,39960150000000.0,0.0,-54411728.868396804,45033,10.337974,745.95
0.0,0.0021217733,-0.005048763,62,47596991,36805.21162652969,72274680000000.0,5.960464477539063e-08,-118210317.59079999,45095,10.336872,835.58
0.0,0.0025571184,-0.0064280718,54,47649887,36848.614354133606,32611443000000.0,4.76837158203125e-07,-112439745.98940319,45149,10.337634,931.65
0.0,0.0024191325,-0.0048812833,41,47697250,36892.81717014313,29194241000000.0,-6.079673767089844e-06,-124325092.44533701,45190,10.337068,1037.18
0.0,0.0017854517,-0.0054282593,61,47750982,36936.99451422691,88928210000000.0,4.172325134277344e-07,-98942223.21927445,45251,10.3415,985.76
0.0,0.0019321985,-0.005688293,39,47798190,36982.328640937805,60433130000000.0,9.5367431640625e-07,-153317654.78726992,45290,10.346079,1009.4
0.0,0.0023366807,-0.0059298314,47,47844992,37025.90125584602,39925230000000.0,5.960464477539062e-07,-177516524.25793877,45337,10.346689,1035.39
0.0,0.0025379783,-0.0053527206,66,47901883,37069.228147268295,23515357000000.0,1.7881393432617188e-07,-87048468.18448158,45403,10.352426,957.68
